TITLE,TAG
"Stocks close year 2020 at 30-month high
",Newspaper 
"LNG prices jump to six-year highs
",Newspaper 
"Rupee holds strong against dollar in 2020
",Newspaper 
"FBR misses first half target by Rs16bn
",Newspaper 
"Cabinet directs inquiry into auto companies
",Newspaper 
"Crackdown on smuggling of Iranian fuel criticised
",Pakistan 
"Seven projects under way to promote tourism in coastal areas
",Pakistan 
"Bailable warrants for former Balochistan CM
",Pakistan 
"Mufti Muneeb announces drive against FATF-related law
",Pakistan 
"2,000 employees have applied for voluntary separation: PIA
",Pakistan 
"China to provide $100m grant for road project
",Newspaper 
"GB official’s guards arrested for torturing taxi driver
",Pakistan 
"Durrani meets Fazl to coax him into avoiding confrontation
",Pakistan 
"World ushers in new year amid muted festivities
",Newspaper 
"Chinese, Pakistani FMs agree on need to deepen cooperation
",Newspaper 
"PDM huddle today after PPP ‘somersault’
",Pakistan 
"UK mission in row over money owed by NAB
",Newspaper 
"Contempt plea filed against govt in Pearl case
",Pakistan 
"Covid vaccine administration cells planned across country
",Pakistan 
"Construction sector ‘amnesty plan’ extended
",Newspaper 
"LeT leader Lakhvi arrested from Lahore on terrorism financing charge: CTD
",Pakistan 
"5 Indian cricketers in quarantine after Melbourne dinner date
",Sports
"Herschelle Gibbs appointed head coach of Karachi Kings
",Sports
"Author Haruki Murakami urges politicians to speak sincerely about virus
",World
"FO rubbishes India's 'unwarranted concerns' regarding minority rights in Pakistan
",World
"The fashion industry changed in 2020. Here's what we hope to continue to see this year
",Pakistan 
"Cinemas are looking at Bond and Black Widow to help them make a comeback this year
",World
"Babar Azam ruled out of Christchurch Test against New Zealand
",Sports
"The ultimate baked French toast recipe you didn’t know you needed
",Pakistan 
"Editorial: It seems the BJP government is using the same tactics in occupied Kashmir as Israel in Palestine
",World
"Without a scientific culture, Pakistan may consume and trade but will be unable to invent
",Pakistan 
"Kashmir’s future
",Newspaper 
"Govt extends Sehat Card Plus scheme to six more districts
",Pakistan 
"Gunman killed after murder in hospital
",Pakistan 
"Govt to rebuild Karak Hindu shrine vandalised by mob
",Pakistan 
"Met Office predicts rain, snowfall in Pindi from tomorrow
",Pakistan 
"Juvenile bonded labourers produced in court
",Pakistan 
"Pims employees continue protest against MTI ordinance
",Pakistan 
"Punjab govt highlights 2020 achievements
",Pakistan 
"Driver-guard dispute keeps train halted
",Pakistan 
"LHC asked to strike down Senate secret balloting
",Pakistan 
"Karachi shivers as mercury plunges to 5.6°C
",Pakistan 
"Civil servants facing proceedings barred from duty
",Pakistan 
"Sindh to get Covid-19 vaccine by mid-January, says Pechuho
",Pakistan 
"Myanmar’s armed group releases abducted members of Suu Kyi’s party
",Newspaper 
"Divided United Kingdom casts off into the Brexit unknown
",Newspaper 
"India approves AstraZeneca Covid vaccine
",Newspaper 
"Iran tells IAEA it plans to enrich uranium up to 20pc
",Newspaper 
"Babar, Rizwan, Fawad, Aliya bag top PCB awards for 2020
",Newspaper 
"India add Natarajan in Test squad for injured Yadav
",Newspaper 
"NZ call up Henry for second Pakistan Test
",Newspaper 
"Central Punjab’s late resurgence leaves KP jittery
",Newspaper 
"Omega Club win Quaid SSB Cup basketball
",Newspaper 
"NYSE to delist three Chinese firms under Trump order
",Newspaper 
"PM takes note of steel price spiral
",Newspaper 
"Concessionary tariff eligibility rules notified
",Newspaper 
"Foreigners invest $77.2m in govt papers
",Newspaper 
"Exports jump 18.3pc in December
",Newspaper 
"PTV board ‘suspends managing director’
",Pakistan 
"Rashid visits Torkham, gets briefing on border security, trade facilities
",Pakistan 
"NSG assailed for treating Pakistan, India differently on membership
",Newspaper 
"394 legislators get 15 more days to file asset details
",Pakistan 
"Afghan journalist shot dead
",Newspaper 
"Pakistan urges UN to prevent Andrabi’s ‘judicial murder’
",Newspaper 
"WHO okays Pfizer vaccine for emergency use
",Newspaper 
"Barbs fly in Senate over NAB’s performance
",Pakistan 
"Govt agrees to pay $28.7m damages to US firm
",Newspaper 
"IHC fines  govt officials Rs10m in missing  person case
",Pakistan 
"Ministry to pay 30pc of circular debt to IPPs
",Newspaper 
"People won’t pay heed to PDM protest plans: PM
",Pakistan 
"At least 70 killed in suspected militant attacks in Niger: security sources
",World
"All you need to know about the upcoming show Time Out With Ahsan Khan
",Pakistan 
"PIA resumes flight operations to Saudi Arabia after it reopens borders
",Pakistan 
"Jamieson takes five as NZ dismiss Pakistan for 297
",Sports
"'Blessed to have you in my life,' writes Zahid Ahmed's wife in heartfelt note celebrating his achievements
",Pakistan 
"Question marks over Australia-India Test after reports of tourists' boycott threats
",World
"Explainer: Where are we in the Covid-19 vaccine race?
",World
"India approves AstraZeneca and local Covid vaccines, rollout in weeks
",World
"A no-fuss recipe to help you savour the joy of a simple orange-almond cake
",Pakistan 
"Talk show host Larry King in hospital with Covid-19 for more than a week
",World
"TV anchor Nadia Khan has tied the knot
",Pakistan 
"At least 11 coal miners shot dead in Balochistan's Mach area after being kidnapped
",Pakistan 
"I have no idea why I'm not offered films, says Adnan Siddiqui
",Pakistan 
"Saving Karachi's street economy
",Pakistan 
"Mansehra police raid house of JUI-F's Mufti Kifayatullah in treason case
",Pakistan 
"Smokers’ Corner: Why Islam as an imperial power started to stagnate in the 18th century
",World
"Editorial: For Imran Khan to think the PDM will fizzle out and go away is naive
",Pakistan 
"The PPP is playing a complex game trying to balance posturing and reality as part of the PDM
",Pakistan 
"Deaths in air crashes rose last year despite decline in number of flights
",Newspaper 
"Wagner opens up on bowling with broken toes
",Newspaper 
"Cold shoulder from CP coach, PCB high-ups irks Kamran
",Newspaper 
"Covid patient gives birth to healthy baby girl at LUH
",Pakistan 
"Study suggests educational interventions to motivate people to follow Covid-19 protocols
",Pakistan 
"Qari remanded in FIA custody in child pornography case in Karachi
",Pakistan 
"Car lifting, motorbike and mobile phone snatching increased in Karachi in 2020
",Pakistan 
"KP seize control after Central Punjab lose ground
",Newspaper 
"Pakistan batsmen need consistency to draw series: Intikhab
",Newspaper 
"Son nets 100th goal for winning Tottenham
",Newspaper 
"Indian quadcopter shot down in AJK
",Newspaper 
"Highway blocked in protest over Iran trade gate closure
",Pakistan 
"Unlike PDM leadership, PM enjoys public trust: Qureshi
",Pakistan 
"Revellers booked in France for violating Covid curbs
",Newspaper 
"Bahawalpur police spring into action to stop PDM rally today
",Pakistan 
"Drizzle helps clear clouds of fog in Lahore
",Pakistan 
"Punjab ends free Wi-Fi facility for public because of ‘heavy subsidy’
",Pakistan 
"An uneasy start to a crude 2021
",Newspaper 
"Paapam for localisation
",Newspaper 
"PM orders action against fuel smuggling across Iran border
",Newspaper 
"Stocks gain 1,018 points in last week of 2020
",Newspaper 
"Provisional revenues for July-Dec rise to Rs2,204bn
",Newspaper 
"SSGC warns of ‘acute shortage of gas’, notifies supply cutoff to Karachi captive power plants
",Newspaper 
"Govt justifies Asif’s arrest, shares details of ‘wrongdoings’
",Pakistan 
"PM’s aide reluctant to give date of vaccine’s arrival
",Pakistan 
"Capital saw economic activity worth Rs100bn in 2020: CDA
",Pakistan 
"Body set up for Hindu shrine rebuilding plan
",Pakistan 
"Rs24m okayed for buying Raj Kapoor, Dilip Kumar’s ancestral homes
",Pakistan 
"Pfizer, BioNTech to offer vaccine to volunteers who got placebo
",Newspaper 
"Five women killed in Yemen wedding hall blast
",Newspaper 
"Car bombs kill six in pro-Turkey north Syria
",Newspaper 
"Scottish leader tells EU ‘we hope to join you again’
",Newspaper 
"Iran Guards vow response  to ‘any action’ amid US tensions
",Newspaper 
"IHC forms commission to examine labour laws’ violation in brick kilns
",Pakistan 
"200,000 CNICs fraudulently obtained by Afghans cancelled
",Pakistan 
"LHC stays Ravi project till EIA report approval
",Pakistan 
"Five police officials held for killing youth in Islamabad
",Pakistan 
"Economy: The 2020 crisis was different from all other crises Pakistan has seen in its history
",Business
"Poachers' paradise: Gulf hunts fuel falcon trafficking in Pakistan
",Pakistan 
"Thousands mourn Hazara coal miners killed in Balochistan attack
",Pakistan 
"Jack Ma's disappearing act fuels speculation about billionaire's whereabouts
",World
"After lawyer's 'abduction', IHC reiterates concern over 'abysmal state of law and order' in Islamabad
",Pakistan 
"If you are a Pakistani woman, you can now avail the Malala Yousafzai Scholarship
",Pakistan 
"UK judge refuses US request for extradition of WikiLeaks founder Assange
",World
"LHC does away with archaic two-finger test for sexual assault survivors, terms them 'illegal'
",Pakistan 
"Rahat Fateh Ali Khan's Zaroori Tha crosses 1 billion views on YouTube
",Pakistan 
"No, Sanam Jung and her husband are not splitting up
",Pakistan 
"India fine with strict quarantine for Brisbane Test, says Cricket Australia boss
",Sports
"What Sonya Hussyn will be doing differently in 2021
",Pakistan 
"Govt announces phase-wise opening of educational institutions from Jan 18
",Pakistan 
"Extraordinary warning to Trump by 10 former Pentagon chiefs
",World
"Hadiqa Kiani is ready to make her acting debut
",Pakistan 
"US may cut some Moderna vaccine doses in half to speed rollout, official says
",World
"Williamson's 112 helps NZ cut Pakistan's lead in 2nd test
",Sports
"How did Khaadi become Pakistani fashion's biggest success story? Shamoon Sultan spills all
",Pakistan 
"Predicting Pakistan's 2021 trade scenario
",Business
"What does the new year have in store for Pakistan's economy?
",Business
"Growth vs stability — which approach is the best to tackle the economy?
",Business
"Services sector looks for upturn
",Newspaper 
"Mixed prospects of agriculture
",Newspaper 
"Mourning the butchered Hazara coal miners of Balochistan
",Pakistan 
"Payments to lead the tech wave
",Newspaper 
"SBP, banks and a challenging new year
",Newspaper 
"Pakistan’s angry political culture
",Pakistan 
"Ministry of Finance expects broad-based recovery
",Newspaper 
"Wunderkind Omar makes history at National Amateurs
",Newspaper 
"‘Tortured’ Amir’s exit may hound Pakistan in the future
",Newspaper 
"Ton-up Kamran attains new heights as KP dominate
",Newspaper 
"England land in Sri Lanka to resume Covid-marred tour
",Newspaper 
"Future of private BA, MA students hangs in balance
",Pakistan 
"Minorities protest torching of Hindu shrine
",Pakistan 
"Govt asked to take steps for safety of coal miners
",Pakistan 
"Editorial: The inability of Pakistani officialdom to recognise the sanctity of contracts has become a trend
",Pakistan 
"Scotland must wait a generation for new vote, says Johnson
",Newspaper 
"11 Republican senators enlist in long-shot Trump bid to undo Biden’s win
",Newspaper 
"Tibetans in exile vote in India for political leader
",Newspaper 
"Britain set for tougher virus rules as cases surge
",Newspaper 
"Covid-19 patients advised to consult doctors before using oxygen at home
",Pakistan 
"Capital admin planning to set up mobile libraries
",Pakistan 
"Anti-US chants rend air as Iraqis mourn Soleimani, Muhandis
",Newspaper 
"Aden airport reopens days after deadly attack
",Newspaper 
"Punjab sees twice as many Covid deaths as Sindh
",Pakistan 
"Rs487bn ill-gotten money recovered in three years: NAB
",Pakistan 
"Govt bans ‘sacrilegious’ movie made in Britain
",Pakistan 
"PM takes notice of man’s killing in Islamabad, wants report in 24 hours
",Pakistan 
"Efforts being made to create jobs: CM adviser
",Pakistan 
"PML-N deprived south Punjab of basic facilities: Shibli
",Pakistan 
"How smog widens the socioeconomic divide in Lahore
",Pakistan 
"Pakistan urges UN to get Asiya Andrabi released
",Newspaper 
"PM’s help sought for approval of wind, solar energy projects
",Newspaper 
"Afghan peace talks resume tomorrow as bloodshed continues
",Newspaper 
"Dissenting voices emerge in PML-N over Senate polls
",Pakistan 
"Outlawed TTP continued to regroup in ex-Fata in 2020: report
",Pakistan 
"Around 115,000 frontline health workers in Sindh to get Covid-19 vaccine in first phase
",Pakistan 
"ASF inspector kills two ‘robbers’ near Scout Colony
",Pakistan 
"Dialogue only after PM steps down, says Bilawal
",Pakistan 
"Pakistan exposed India thru’ dossier, says Qureshi
",Pakistan 
"TLP warns of protest if French envoy not expelled
",Pakistan 
"Lockdown in 10 Covid hotspots of three Punjab cities
",Pakistan 
"LDA reduces cost of housing units in Naya Pakistan scheme
",Pakistan 
"PAK vs US: Social media trend proves that Pakistanis aren't afraid to laugh at themselves
",Pakistan 
"‘Terrorists and their abettors will be defeated at all costs,’ vows army leadership
",Pakistan 
"Tanya Roberts, Bond girl and 70s Show star, hospitalised
",World
"Teeli's new web series explores what it's like to be 'just married' in Pakistan
",Pakistan 
"PCB announces star-studded list of foreign players available for PSL 2021
",Sports
"SC orders EPTB to start reconstruction of damaged Hindu shrine in Karak
",Pakistan 
"Saudi Arabia says full ties restored between Qatar and embargo nations
",World
"Iran confirms it is enriching uranium to 20pc at Fordow
",World
"Pakistan to speed up work on joint entertainment productions with Saudi Arabia
",Pakistan 
"Trump’s desperation peaks as final phase of US election begins
",World
"I'm not urging women to expose their bodies: Ayesha Omar claps back at troll
",Pakistan 
"These cricket analysts have entered Pakistan's male-dominated commentary box
",Pakistan 
"Pakistan in trouble after Williamson's 238 gives New Zealand huge lead in second Test
",Sports
"Late night hosts take shows back home as Hollywood urged to halt filming
",World
"From bogus to bizarre: A roundup of some common Covid-19 vaccine myths
",Pakistan 
"Has the govt won the battle against the PDM?
",Pakistan 
"Modi’s frustration with not being able to quell the farmers’ protest is becoming increasingly palpable
",World
"Editorial: The state has long abandoned the Shia Hazaras, nowhere in Balochistan are they safe
",Pakistan 
"Govt to raise Rs3.6tr through bonds
",Newspaper 
"Action plan ordered to check sugar, cooking oil prices
",Newspaper 
"Gas diversions pose risk to food security, warn fertiliser makers
",Newspaper 
"Fuel sales rise 11pc in first half
",Newspaper 
"July-December cement despatches jump 16pc
",Newspaper 
"Hundreds protest against university rector appointed by Erdogan
",Newspaper 
"Trump presses official to ‘find’ enough votes for him
",Newspaper 
"England placed under lockdown till mid-Feb
",Newspaper 
"Breakthrough reached in Saudi-Qatar dispute
",Newspaper 
"‘Missing’ suspected militant found dead on city’s outskirts
",Pakistan 
"SC disposes of case seeking reinvestigation of Perween Rahman’s murder
",Pakistan 
"SHC bench refers appeals in murder case to CJ after drawing split verdict
",Pakistan 
"Pistol used in senior bureaucrat’s ‘suicide’ sent to forensic lab
",Pakistan 
"Delay in disposal of corruption cases irks BHC CJ
",Pakistan 
"Two cases of new strain confirmed in Pakistan: NCOC
",Pakistan 
"Minister asks opposition parties for proof of their foreign funding
",Pakistan 
"World asked to take notice of HR violations in held Kashmir
",Newspaper 
"Travel curbs on UK passengers extended  till 31st
",Pakistan 
"Commission suggests opening of four temples for tourism
",Pakistan 
"Owners refuse to shift marble factories to Mohmand
",Pakistan 
"Man arrested for molesting daughter in Kohat
",Pakistan 
"Peshawarites suffer worst gridlock as protesting teachers block road
",Pakistan 
"Nawaz needs to fullfil commitment and return, says minister
",Pakistan 
"India involved in killing of 11 Hazara coal miners: Rind
",Pakistan 
"Police records on youth’s killing in Islamabad sealed after contradictions detected
",Pakistan 
"Punjab police come up with ISPR-like media wing
",Pakistan 
"PCTB notifies single national curriculum
",Pakistan 
"Punjab demands outstanding Rs143bn claims from Centre
",Pakistan 
"Moeen tests positive for Covid-19
",Newspaper 
"Anderson ready for hard labour in Sri Lanka Tests
",Newspaper 
"Karunaratne gives SL slim lead after SA’s batting slump
",Newspaper 
"Overcautious CP set up fascinating finale after KP collapse
",Newspaper 
"Senate polls: SC wants plea maintainability addressed
",Pakistan 
"Pakistan, US reaffirm pledge to work for Afghan peace
",Newspaper 
"TLP’s ambition to enter mainstream nears realisation
",Pakistan 
"Firm hired to probe Sharifs ended up seeking their help
",Newspaper 
"Mourners refuse to bury Mach massacre victims
",Pakistan 
"PDM has died its own death, says Imran
",Pakistan 
"Govt rejects claims of deaths in NAB custody
",Pakistan 
"Minorities equal citizens of Pakistan, state's job to protect them: PM Imran
",Pakistan 
"With wins in Georgia, Democrats to gain full control but Trump threatens veto
",World
"Trump pressures 'powerless' Pence to overturn will of voters in electoral count
",World
"Terrorism incidents belie govt claims of having established peace: Fazl at PDM Bannu rally
",Pakistan 
"CAA trifurcated to 'ensure microlevel management'
",Pakistan 
"I've taken up gaming with my mates, says Malala Yousufzai reflecting on life in lockdown
",Pakistan 
"Remembering the brave Aitzaz Hasan on his 6th death anniversary
",Pakistan 
"India to hold national 'cow science' exam
",World
"Islamabad ATC grills police over incomplete evidence in Osama Satti murder case
",Pakistan 
"Pakistan asked to send back bodies of 3 Afghans killed in Balochistan mine attack
",World
"Several roads blocked as protests against Hazara killings continue in Karachi for 2nd day
",Pakistan 
"Criticism mounts of India's 'abrupt' approval of local vaccine
",World
"Karachi's Burns Road will now be a food street for pedestrians to enjoy
",Pakistan 
"Oil hits 11-month high after Saudi Arabia pledges voluntary output cut
",Business
"Are Kim Kardashian and Kanye West getting divorced?
",World
"Bitcoin breaks above $35,000 to touch new high
",World
"Democrats win one seat in 'historic' Georgia senate race, near majority
",World
"England pass coronavirus tests in Sri Lanka after Moeen blow
",Sports
"Sana Mir tests positive for coronavirus
",Pakistan 
"Grammy Awards postponed to March 14, Recording Academy says
",World
"New Zealand thrash Pakistan in second Test as Jamieson bags 11 wickets
",Sports
"Is it now the govt's turn to pull back from the politics of confrontation?
",Pakistan 
"Pakistan will not be able to accrue maximum economic benefits if it does not link CPEC to other countries
",Business
"Editorial: There is reason to worry if the Gulf alliance is being nudged to form a united front to confront Iran
",World
"Norway first to reach 50pc electric in new car sales
",Newspaper 
"Move in US to strip Pakistan of major ally status has little support
",Newspaper 
"Trump says he’ll ‘fight like hell’ to hold on to presidency
",Newspaper 
"Britain enters lockdown that could run until March
",Newspaper 
"PSM land valuation discussed
",Newspaper 
"Stocks snap four-day winning streak
",Newspaper 
"‘Riyadh offers extra output cut as part of Opec+ deal’
",Newspaper 
"WB revises growth forecast down to 0.5pc
",Newspaper 
"One day, two projections: State Bank says GDP to grow 1.5-2.5pc
",Newspaper 
"Let us live: Hazaras demand PM, COAS ensure their safety
",Pakistan 
"South Africa seal Test series sweep despite Karunaratne ton
",Newspaper 
"‘Misbah, Waqar not coaches’
",Newspaper 
"Hasan steals thunder as CP, KP tie final in high-voltage drama
",Newspaper 
"MQM’s votes keeping federal government afloat, says Bilawal
",Pakistan 
"Vaccine delivery likely to face delay, says Sindh health minister
",Pakistan 
"SHC refuses to grant stay against anti-encroachment drive
",Pakistan 
"Covid detected in five people on return from UK in KP
",Pakistan 
"NAB files reference against Fazl’s aide
",Pakistan 
"Prayer leaders in KP to get monthly honorarium from next fiscal
",Pakistan 
"Minister hints at foreign hand behind Karak incident
",Pakistan 
"ASI dismissed for failing to justify firing gunshot to arrest man in Islamabad
",Pakistan 
"Social media websites asked to establish offices in country, IHC told
",Pakistan 
"Capital’s only sewage treatment plant becomes functional after four years
",Pakistan 
"Gigantic cleanliness drive: Citizens smell odour of LWMC’s inefficiency
",Pakistan 
"PDM’s Sahiwal rally rescheduled
",Pakistan 
"Foreign company vindicates Nawaz, says Maryam
",Pakistan 
"Heavy rainfall cools down Punjab
",Pakistan 
"PPP leaders want govt to discuss Covid-19 policy in parliament
",Pakistan 
"ANP MPA escapes attack, but police guard killed in Charsadda
",Pakistan 
"BAP’s Nusrat Shaheen elected senator unopposed on vacant seat
",Pakistan 
"Hazara mourners continue to stage sit-in for third day
",Pakistan 
"CSB recommends promotion of officers in BS-20, 21
",Pakistan 
"SC orders govt to appoint permanent law secretary
",Pakistan 
"UN leaders condemn Mach terrorist attack
",Newspaper 
"Ex-chief of China’s firm sentenced to death in $260m corruption, bigamy case
",Newspaper 
"Kabul team in Doha as Taliban accused of stalling dialogue
",Newspaper 
"Indian farmers to continue protests as talks fail
",Newspaper 
"Govt invites opposition for Kashmir action plan talks
",Pakistan 
"Procurement rules relaxed to allow vaccine import
",Pakistan 
"IPPs not impressed by govt plan for dues settlement
",Newspaper 
"Facebook, Instagram to block Trump's account for rest of his presidential term
",World
"'Bargaining tools': Saudi Arabia speeds up trials of dissidents before Biden era
",World
"Trump finally acknowledges defeat, says transition will be orderly after Congress certifies Biden's victory
",World
"Rapper Dr Dre says he's 'doing great' in hospital after reported aneurysm
",World
"PPP dismissed its govt in Balochistan when you protested, Bilawal tells Hazara protesters
",Pakistan 
"Moderna CEO says vaccine likely to protect for 'couple of years'
",World
"Travel, trade may resume within a week to Qatar, says UAE
",World
"Anushka Sharma slams paparazzi for invasion of privacy
",World
"In pictures: Protesters take to the streets in several cities against Mach massacre
",Pakistan 
"US Congress certifies Biden's win after mob attack kills four
",World
"Traffic disrupted as protests against Hazara killings continue at 20 sites in Karachi
",Pakistan 
"No one's been able to define what Pakistani culture really is, says Osman Khalid Butt
",Pakistan 
"Attacks in southern Afghanistan kill at least 11
",World
"Hazaras continue Quetta protest on 5th day, refuse to bury slain miners despite PM's request
",Pakistan 
"In Indian occupied Kashmir, empty grave for teenager killed by Indian forces
",World
"Mehwish Hayat doesn't need to be married or have children to be happy
",Pakistan 
"In pictures: Chaos, violence, mockery as pro-Trump mob occupies Congress
",World
"'Disgraceful scenes': World leaders condemn 'assault on democracy' at US Capitol
",World
"Netflix raises monthly charges for UK subscribers
",World
"Ali Rehman Khan reveals he's tested positive for Covid-19
",Pakistan 
"'Where is the state?': The Hazaras are asking the same question the PM once asked in 2013
",Pakistan 
"Pakistan remains as vulnerable as it was in 1971
",Pakistan 
"Medical universities barred from holding exams in January by health ministry
",Pakistan 
"Editorial: Anger over the Hazara killings is spreading among the wider Shia community
",Pakistan 
"GB receives heavy snowfall
",Pakistan 
"Red Zone Files: 10 reasons PDM stumbled in its campaign against the govt
",Pakistan 
"Christian prisoner moves PHC for release from ‘illegal’ detention
",Pakistan 
"Batons, tear gas used to disperse teachers’ procession in AJK
",Pakistan 
"CDA de-seals Grand Hyatt project
",Pakistan 
"Islamabad gets new IGP
",Pakistan 
"1,597 complaints against flouting of lockdown SOPs during second wave
",Pakistan 
"Defamation suit: PML-N workers scare Shahbaz Gill away
",Pakistan 
"Maryam to visit Hazaras today
",Pakistan 
"‘Manipulated’ supply chain behind sugar price volatility
",Pakistan 
"Sit-ins in solidarity with Mach victims expand to different parts of Karachi
",Pakistan 
"Great-grandson of Sindh Madressatul Islam’s founder shot dead
",Pakistan 
"Karachi's Burnes Road to remain traffic-free in evenings
",Pakistan 
"Prime minister sahib, go to Quetta, demands Sindh Assembly
",Pakistan 
"Assange denied bail despite US extradition block
",Newspaper 
"Beijing slams ‘bullying’ US over Trump’s order on Chinese apps
",Newspaper 
"HK crackdown escalates with arrest of 50 activists
",Newspaper 
"Joyriders Misbah, Waqar continue to pull off the coaching bluff
",Newspaper 
"‘Pakistan failed to learn from first Test defeat’
",Newspaper 
"Brisbane boycott reports raise tensions ahead of third Test
",Newspaper 
"Rise of Black Caps began with calamity in South Africa
",Newspaper 
"Call for exploiting agriculture potential under CPEC
",Newspaper 
"New textile policy envisions trillion-rupee subsidies for exporters till year 2025
",Newspaper 
"State Bank alarmed by pension bill
",Newspaper 
"Qaiser, Imran discuss plan for NA session
",Pakistan 
"Rival teams race to be first for winter summit of K2
",Pakistan 
"Policy to deter attacks on worship places soon, says chief of minorities commission
",Pakistan 
"Three brothers die in Peshawar as grenade they’re playing with goes off
",Pakistan 
"PPP slams PM for not visiting heirs of slain Mach miners
",Pakistan 
"NAB always leaves principal accused untouched, says SC
",Pakistan 
"Promotion of officers in BS-20, 21 recommended
",Pakistan 
"WHO’s virus mission in disarray as China refuses team entry
",Newspaper 
"ECP asks scrutiny committee to meet thrice a week
",Pakistan 
"PM plans ‘surprise visit’ to meet Hazara mourners
",Pakistan 
"ECC okays additional wheat import for buffer stock
",Newspaper 
"Virgin Islands court resumes hearing on Reko Diq award today
",Newspaper 
"House Speaker Pelosi says spoke to top US army general about restraining Trump
",World
"Signal, Telegram see demand spike as new WhatsApp privacy policy stirs debate
",World
"'So much pride': Maryam slams PM Imran for calling protesting Hazaras 'blackmailers'
",Pakistan 
"WhatsApp is selling user data to Facebook and Twitter doesn’t like that one bit
",World
"Lahore ATC sentences LeT's Lakhvi to 5 years imprisonment for terror financing
",Pakistan 
"What we want to see more of on television in 2021
",Pakistan 
"Islamabad ATC sentences 3 to death for sharing blasphemous content on social media
",Pakistan 
"Yasra Rizvi and Yumna Zaidi's next serial is about human trafficking
",Pakistan 
"Democrats inch towards second Trump impeachment after US Capitol siege
",World
"Sanjay Leela Bhansali is working on a project about Lahore's Heera Mandi
",World
"Steve Smith smacks 27th century as India trail Australia by 312 in second Test
",Sports
"Inside Adnan Siddiqui and Humayun Saeed's evening spent with Ertugrul's Abdur Rehman Alp
",Pakistan 
"Jamal Khashoggi doc, too explosive for streaming, debuts on-demand
",World
"SAPM on Power Tabish Gohar resigns from post
",Business
"Sindh Assembly grants parliamentary secretaries extra perks and privileges
",Pakistan 
"SHC seeks arguments on contempt plea against Sindh govt in Pearl case
",Pakistan 
"ATC acquits Uzair Baloch in two cases
",Pakistan 
"Search operation causes unrest in Larkana jail
",Pakistan 
"Has the quest to make teacher recruitment more objective resulted in unintended consequences?
",Pakistan 
"Clinical trial of Covid-19 vaccine completes this week
",Pakistan 
"Ruet body chief shows willingness to use science for moon sighting
",Pakistan 
"The Hazaras are pawns in a bloody game that also instrumentalises Baloch and Pashtun populations
",Pakistan 
"Editorial: America will need to heal itself before it attempts to heal the planet
",World
"Member of Trump’s cabinet, deputy security aide resign
",Newspaper 
"France keeps restaurants, ski resorts closed
",Newspaper 
"Pelosi calls for Trump’s urgent removal
",Newspaper 
"PM to launch first instant payments system
",Newspaper 
"KE granted licence for pipeline
",Newspaper 
"December trade deficit widens by 32pc
",Newspaper 
"Bangla­desh urged to use 1974 accord to address issues
",Newspaper 
